Score :	5.29686004e-05
Parameters:
Name	Value	SE
Vmax	1.04822677e-05	N/A
KmNADPH	0.00329366488	N/A
KmMG	0.778790145	N/A

Time courses used:
10.txt
1.txt
2.txt
3.txt
4.txt



Time course 10.txt
time	NADPH	pred_NADPH	MG	pred_MG
2.000000000e+01	3.268259100e-02	3.271297703e-02	NAN	4.999835163e+00
4.000000000e+01	3.258383100e-02	3.254821676e-02	NAN	4.999670403e+00
6.000000000e+01	3.237253100e-02	3.238353382e-02	NAN	4.999505720e+00
8.000000000e+01	3.204869100e-02	3.221892889e-02	NAN	4.999341115e+00
1.000000000e+02	3.194993100e-02	3.205440265e-02	NAN	4.999176589e+00
1.200000000e+02	3.159393700e-02	3.188995579e-02	NAN	4.999012142e+00
1.400000000e+02	3.160771700e-02	3.172558901e-02	NAN	4.998847775e+00
1.600000000e+02	3.134818600e-02	3.156130301e-02	NAN	4.998683489e+00
1.800000000e+02	3.094396000e-02	3.139709850e-02	NAN	4.998519285e+00
2.000000000e+02	3.092558600e-02	3.123297622e-02	NAN	4.998355162e+00
2.200000000e+02	3.087505700e-02	3.106893690e-02	NAN	4.998191123e+00
2.400000000e+02	3.059944900e-02	3.090498128e-02	NAN	4.998027167e+00
2.600000000e+02	3.032384000e-02	3.074111011e-02	NAN	4.997863296e+00
2.800000000e+02	3.032154300e-02	3.057732415e-02	NAN	4.997699510e+00
3.000000000e+02	3.011024300e-02	3.041362419e-02	NAN	4.997535810e+00
3.200000000e+02	2.980248000e-02	3.025001100e-02	NAN	4.997372197e+00
3.400000000e+02	2.946256300e-02	3.008648538e-02	NAN	4.997208671e+00
3.600000000e+02	2.929949500e-02	2.992304814e-02	NAN	4.997045234e+00
3.800000000e+02	2.923288900e-02	2.975970008e-02	NAN	4.996881886e+00
4.000000000e+02	2.919843800e-02	2.959644204e-02	NAN	4.996718628e+00
4.200000000e+02	2.893890700e-02	2.943327484e-02	NAN	4.996555461e+00
4.400000000e+02	2.884014700e-02	2.927019935e-02	NAN	4.996392385e+00
4.600000000e+02	2.866100100e-02	2.910721642e-02	NAN	4.996229402e+00
4.800000000e+02	2.846577900e-02	2.894432693e-02	NAN	4.996066513e+00
5.000000000e+02	2.823840100e-02	2.878153175e-02	NAN	4.995903718e+00
5.200000000e+02	2.818787300e-02	2.861883179e-02	NAN	4.995741018e+00
5.400000000e+02	2.799265000e-02	2.845622795e-02	NAN	4.995578414e+00
5.600000000e+02	2.776527300e-02	2.829372116e-02	NAN	4.995415907e+00
5.800000000e+02	2.761828200e-02	2.813131235e-02	NAN	4.995253498e+00
6.000000000e+02	2.747129100e-02	2.796900246e-02	NAN	4.995091188e+00
6.200000000e+02	2.721175900e-02	2.780679246e-02	NAN	4.994928978e+00
6.400000000e+02	2.714515400e-02	2.764468332e-02	NAN	4.994766869e+00
6.600000000e+02	2.699816300e-02	2.748267602e-02	NAN	4.994604862e+00
6.800000000e+02	2.681901700e-02	2.732077158e-02	NAN	4.994442958e+00
7.000000000e+02	2.672025700e-02	2.715897100e-02	NAN	4.994281157e+00
7.200000000e+02	2.652503400e-02	2.699727532e-02	NAN	4.994119461e+00
7.400000000e+02	2.632981200e-02	2.683568559e-02	NAN	4.993957872e+00
7.600000000e+02	2.616674300e-02	2.667420285e-02	NAN	4.993796389e+00
7.800000000e+02	2.605190600e-02	2.651282819e-02	NAN	4.993635014e+00
8.000000000e+02	2.582452900e-02	2.635156271e-02	NAN	4.993473749e+00
8.200000000e+02	2.574184700e-02	2.619040749e-02	NAN	4.993312593e+00
8.400000000e+02	2.570739500e-02	2.602936368e-02	NAN	4.993151550e+00
8.600000000e+02	2.546394100e-02	2.586843241e-02	NAN	4.992990618e+00
8.800000000e+02	2.522048700e-02	2.570761484e-02	NAN	4.992829801e+00
9.000000000e+02	2.513780400e-02	2.554691214e-02	NAN	4.992669098e+00
9.200000000e+02	2.500689000e-02	2.538632551e-02	NAN	4.992508512e+00
9.400000000e+02	2.490813000e-02	2.522585614e-02	NAN	4.992348042e+00
